Feature ID	Taxon
K00039	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00039 ribitol 2-dehydrogenase 
K00040	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00040 fructuronate reductase 
K00041	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00041 tagaturonate reductase 
K00042	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00042 2-hydroxy-3-oxopropionate reductase 
K00043	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00043 4-hydroxybutyrate dehydrogenase 
K00044	Metabolism;Lipid metabolism;Steroid hormone biosynthesis;K00044 17beta-estradiol 17-dehydrogenase 
K00045	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism;K00045 mannitol 2-dehydrogenase 
K00046	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00046 gluconate 5-dehydrogenase 
K00048	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00048 lactaldehyde reductase 
K00049	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00049 glyoxylate/hydroxypyruvate reductase 
K00052	Metabolism;Carbohydrate metabolism;C5-Branched dibasic acid metabolism;K00052 3-isopropylmalate dehydrogenase 
K00053	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine biosynthesis;K00053 ketol-acid reductoisomerase 
K00054	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis;K00054 hydroxymethylglutaryl-CoA reductase 
K00055	Metabolism;Amino acid metabolism;Tyrosine metabolism;K00055 aryl-alcohol dehydrogenase 
K00057	Metabolism;Lipid metabolism;Glycerophospholipid metabolism;K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) 
K00058	Metabolism;Energy metabolism;Methane metabolism;K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase 
K00059	Metabolism;Lipid metabolism;Fatty acid biosynthesis;K00059 3-oxoacyl-
K00060	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00060 threonine 3-dehydrogenase 
K00061	Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism;K00061 11-cis-retinol dehydrogenase 
K00063	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00063 D-arabinose 1-dehydrogenase 
K00064	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism;K00064 D-threo-aldose 1-dehydrogenase 
K00065	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase 
K00066	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism;K00066 GDP-mannose 6-dehydrogenase 
K00067	Metabolism;Metabolism of terpenoids and polyketides;Polyketide sugar unit biosynthesis;K00067 dTDP-4-dehydrorhamnose reductase 
K00068	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism;K00068 sorbitol-6-phosphate 2-dehydrogenase 
K00069	Human Diseases;Cancers: Overview;Transcriptional misregulation in cancer;K00069 15-hydroxyprostaglandin dehydrogenase (NAD) 
K00071	Metabolism;Lipid metabolism;Steroid hormone biosynthesis;K00071 corticosteroid 11-beta-dehydrogenase isozyme 2 
K00073	Metabolism;Nucleotide metabolism;Purine metabolism;K00073 ureidoglycolate dehydrogenase (NAD+) 
K00074	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00074 3-hydroxybutyryl-CoA dehydrogenase 
K00075	Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism;K00075 UDP-N-acetylmuramate dehydrogenase 
K00076	Metabolism;Lipid metabolism;Secondary bile acid biosynthesis;K00076 7-alpha-hydroxysteroid dehydrogenase 
K00077	Metabolism;Metabolism of cofactors and vitamins;Pantothenate and CoA biosynthesis;K00077 2-dehydropantoate 2-reductase 
K00078	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;K00078 dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) 
K00079	Metabolism;Lipid metabolism;Arachidonic acid metabolism;K00079 carbonyl reductase 1 
K00082	Metabolism;Metabolism of cofactors and vitamins;Riboflavin metabolism;K00082 5-amino-6-(5-phosphoribosylamino)uracil reductase 
K00083	Metabolism;Biosynthesis of other secondary metabolites;Phenylpropanoid biosynthesis;K00083 cinnamyl-alcohol dehydrogenase 
K00084	Metabolism;Lipid metabolism;Arachidonic acid metabolism;K00084 carbonyl reductase 3 
K00086	Metabolism;Carbohydrate metabolism;Propanoate metabolism;K00086 1,3-propanediol dehydrogenase 
K00087	Metabolism;Nucleotide metabolism;Purine metabolism;K00087 xanthine dehydrogenase molybdenum-binding subunit 
K00088	Metabolism;Nucleotide metabolism;Purine metabolism;K00088 IMP dehydrogenase 
K00090	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway;K00090 glyoxylate/hydroxypyruvate/2-ketogluconate reductase 
K00091	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00091 dihydroflavonol-4-reductase 
K00093	Metabolism;Energy metabolism;Methane metabolism;K00093 methanol dehydrogenase 
K00094	Metabolism;Carbohydrate metabolism;Galactose metabolism;K00094 galactitol-1-phosphate 5-dehydrogenase 
K00096	Metabolism;Lipid metabolism;Glycerophospholipid metabolism;K00096 glycerol-1-phosphate dehydrogenase 
K00097	Metabolism;Metabolism of cofactors and vitamins;Vitamin B6 metabolism;K00097 4-hydroxythreonine-4-phosphate dehydrogenase 
K00098	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00098 L-idonate 5-dehydrogenase 
K00099	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis;K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase 
K00100	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00100 butanol dehydrogenase 
K00101	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00101 L-lactate dehydrogenase (cytochrome) 
K00102	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00102 D-lactate dehydrogenase (cytochrome) 
K00103	Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism;K00103 L-gulonolactone oxidase 
K00104	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00104 glycolate oxidase 
K00106	Metabolism;Nucleotide metabolism;Purine metabolism;K00106 xanthine dehydrogenase/oxidase 
K00108	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00108 choline dehydrogenase 
K00111	Metabolism;Lipid metabolism;Glycerophospholipid metabolism;K00111 glycerol-3-phosphate dehydrogenase 
K00112	Metabolism;Lipid metabolism;Glycerophospholipid metabolism;K00112 glycerol-3-phosphate dehydrogenase subunit B 
K00113	Metabolism;Lipid metabolism;Glycerophospholipid metabolism;K00113 glycerol-3-phosphate dehydrogenase subunit C 
K00114	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00114 alcohol dehydrogenase (cytochrome c) 
K00117	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway;K00117 quinoprotein glucose dehydrogenase 
K00118	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00118 glucose-fructose oxidoreductase 
K00121	Metabolism;Xenobiotics biodegradation and metabolism;Glycolysis / Gluconeogenesis;K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase 
K00122	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00122 formate dehydrogenase 
K00123	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00123 formate dehydrogenase major subunit 
K00124	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00124 formate dehydrogenase iron-sulfur subunit
K00125	Metabolism;Energy metabolism;Methane metabolism;K00125 formate dehydrogenase (coenzyme F420) beta subunit 
K00127	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00127 formate dehydrogenase subunit gamma
K00128	Metabolism;Amino acid metabolism;Glycolysis / Gluconeogenesis;K00128 aldehyde dehydrogenase (NAD+) 
K00129	Metabolism;Amino acid metabolism;Glycolysis / Gluconeogenesis;K00129 aldehyde dehydrogenase (NAD(P)+) 
K00130	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00130 betaine-aldehyde dehydrogenase 
K00131	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP+) 
K00132	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00132 acetaldehyde dehydrogenase (acetylating) 
K00133	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00133 aspartate-semialdehyde dehydrogenase 
K00134	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00134 glyceraldehyde 3-phosphate dehydrogenase 
K00135	Metabolism;Amino acid metabolism;Butanoate metabolism;K00135 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase 
K00138	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00138 aldehyde dehydrogenase 
K00139	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00139 succinate-semialdehyde dehydrogenase 
K00140	Metabolism;Carbohydrate metabolism;Propanoate metabolism;K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase 
K00142	Brite Hierarchies;Protein families: metabolism;Lipid biosynthesis proteins;K00142 acyl-CoA synthetase 
K00143	Metabolism;Amino acid metabolism;Lysine biosynthesis;K00143 L-2-aminoadipate reductase 
K00145	Metabolism;Amino acid metabolism;Arginine biosynthesis;K00145 N-acetyl-gamma-glutamyl-phosphate reductase 
K00146	Metabolism;Amino acid metabolism;Phenylalanine metabolism;K00146 phenylacetaldehyde dehydrogenase 
K00147	Metabolism;Amino acid metabolism;Arginine and proline metabolism;K00147 glutamate-5-semialdehyde dehydrogenase 
K00149	Metabolism;Amino acid metabolism;Glycolysis / Gluconeogenesis;K00149 aldehyde dehydrogenase family 9 member A1 
K00150	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) 
K00153	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00153 S-(hydroxymethyl)mycothiol dehydrogenase 
K00154	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00154 coniferyl-aldehyde dehydrogenase 
K00157	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00157 aldehyde oxidase 
K00158	Metabolism;Carbohydrate metabolism;Pyruvate metabolism;K00158 pyruvate oxidase 
K00161	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00161 pyruvate dehydrogenase E1 component alpha subunit 
K00162	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00162 pyruvate dehydrogenase E1 component beta subunit 
K00164	Metabolism;Amino acid metabolism;Citrate cycle (TCA cycle);K00164 2-oxoglutarate dehydrogenase E1 component 
K00167	Metabolism;Carbohydrate metabolism;Propanoate metabolism;K00167 2-oxoisovalerate dehydrogenase E1 component beta subunit 
K00169	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00169 pyruvate ferredoxin oxidoreductase alpha subunit 
K00170	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00170 pyruvate ferredoxin oxidoreductase beta subunit 
K00171	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00171 pyruvate ferredoxin oxidoreductase delta subunit 
K00172	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00172 pyruvate ferredoxin oxidoreductase gamma subunit 
K00174	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha 
K00175	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta 
K00176	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta 
K00177	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma 
K00179	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00179 indolepyruvate ferredoxin oxidoreductase, alpha subunit 
K00180	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00180 indolepyruvate ferredoxin oxidoreductase, beta subunit 
K00183	Not Included in Pathway or Brite;Unclassified: metabolism;Energy metabolism;K00183 prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit
K00184	Not Included in Pathway or Brite;Unclassified: metabolism;Energy metabolism;K00184 prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185	Not Included in Pathway or Brite;Unclassified: metabolism;Energy metabolism;K00185 prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K00186	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00186 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit 
K00187	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00187 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit 
K00188	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00188 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit 
K00193	Metabolism;Energy metabolism;Methane metabolism;K00193 acetyl-CoA decarbonylase/synthase complex subunit beta 
K00194	Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes;K00194 acetyl-CoA decarbonylase/synthase complex subunit delta 
K00196	Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes;K00196 anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes;K00197 acetyl-CoA decarbonylase/synthase complex subunit gamma 
K00198	Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes;K00198 anaerobic carbon-monoxide dehydrogenase catalytic subunit 
K00200	Metabolism;Energy metabolism;Methane metabolism;K00200 formylmethanofuran dehydrogenase subunit A 
K00201	Metabolism;Energy metabolism;Methane metabolism;K00201 formylmethanofuran dehydrogenase subunit B 
K00202	Metabolism;Energy metabolism;Methane metabolism;K00202 formylmethanofuran dehydrogenase subunit C 
K00203	Metabolism;Energy metabolism;Methane metabolism;K00203 formylmethanofuran dehydrogenase subunit D 
K00204	Metabolism;Energy metabolism;Methane metabolism;K00204 4Fe-4S ferredoxin
K00205	Metabolism;Energy metabolism;Methane metabolism;K00205 4Fe-4S ferredoxin
K00207	Metabolism;Nucleotide metabolism;Pyrimidine metabolism;K00207 dihydropyrimidine dehydrogenase (NADP+) 
K00208	Metabolism;Lipid metabolism;Fatty acid biosynthesis;K00208 enoyl-
K00209	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00209 enoyl-
K00210	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;K00210 prephenate dehydrogenase 
K00214	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism;K00214 biliverdin reductase 
K00215	Metabolism;Amino acid metabolism;Lysine biosynthesis;K00215 4-hydroxy-tetrahydrodipicolinate reductase 
K00216	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis of siderophore group nonribosomal peptides;K00216 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase 
K00217	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation;K00217 maleylacetate reductase 
K00218	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism;K00218 protochlorophyllide reductase 
K00219	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00219 2,4-dienoyl-CoA reductase (NADPH2) 
K00220	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;K00220 cyclohexadieny/prephenate dehydrogenase 
K00222	Metabolism;Lipid metabolism;Steroid biosynthesis;K00222 Delta14-sterol reductase 
K00226	Metabolism;Nucleotide metabolism;Pyrimidine metabolism;K00226 dihydroorotate dehydrogenase (fumarate) 
K00228	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism;K00228 coproporphyrinogen III oxidase 
K00230	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism;K00230 menaquinone-dependent protoporphyrinogen oxidase 
K00231	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism;K00231 protoporphyrinogen/coproporphyrinogen III oxidase 
K00239	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00239 succinate dehydrogenase / fumarate reductase, flavoprotein subunit 
K00240	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00240 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit 
K00241	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00241 succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00243	Not Included in Pathway or Brite;Poorly characterized;Function unknown;K00243 uncharacterized protein
K00244	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00244 fumarate reductase flavoprotein subunit 
K00245	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00245 fumarate reductase iron-sulfur subunit 
K00246	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00246 fumarate reductase subunit C
K00247	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);K00247 fumarate reductase subunit D
K00248	Metabolism;Carbohydrate metabolism;Butanoate metabolism;K00248 butyryl-CoA dehydrogenase 
K00249	Metabolism;Carbohydrate metabolism;Propanoate metabolism;K00249 acyl-CoA dehydrogenase 
K00251	Metabolism;Lipid metabolism;Primary bile acid biosynthesis;K00251 3-oxo-5-beta-steroid 4-dehydrogenase 
K00252	Metabolism;Amino acid metabolism;Fatty acid degradation;K00252 glutaryl-CoA dehydrogenase 
K00253	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00253 isovaleryl-CoA dehydrogenase 
K00254	Metabolism;Nucleotide metabolism;Pyrimidine metabolism;K00254 dihydroorotate dehydrogenase 
K00257	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00257 acyl-ACP dehydrogenase 
K00259	Metabolism;Amino acid metabolism;Alanine, aspartate and glutamate metabolism;K00259 alanine dehydrogenase 
K00260	Metabolism;Amino acid metabolism;Nitrogen metabolism;K00260 glutamate dehydrogenase 
K00261	Metabolism;Amino acid metabolism;Nitrogen metabolism;K00261 glutamate dehydrogenase (NAD(P)+) 
K00262	Metabolism;Amino acid metabolism;Nitrogen metabolism;K00262 glutamate dehydrogenase (NADP+) 
K00263	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation;K00263 leucine dehydrogenase 
K00264	Metabolism;Energy metabolism;Nitrogen metabolism;K00264 glutamate synthase (NADH) 
K00265	Metabolism;Energy metabolism;Nitrogen metabolism;K00265 glutamate synthase (NADPH) large chain 
K00266	Metabolism;Energy metabolism;Nitrogen metabolism;K00266 glutamate synthase (NADPH) small chain 
K00274	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00274 monoamine oxidase 
K00275	Metabolism;Metabolism of cofactors and vitamins;Vitamin B6 metabolism;K00275 pyridoxamine 5'-phosphate oxidase 
K00278	Metabolism;Amino acid metabolism;Alanine, aspartate and glutamate metabolism;K00278 L-aspartate oxidase 
K00281	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00281 glycine dehydrogenase 
K00282	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00282 glycine dehydrogenase subunit 1 
K00283	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00283 glycine dehydrogenase subunit 2 
K00284	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism;K00284 glutamate synthase (ferredoxin) 
K00285	Metabolism;Amino acid metabolism;Phenylalanine metabolism;K00285 D-amino-acid dehydrogenase 
K00286	Metabolism;Amino acid metabolism;Arginine and proline metabolism;K00286 pyrroline-5-carboxylate reductase 
K00287	Metabolism;Metabolism of cofactors and vitamins;Folate biosynthesis;K00287 dihydrofolate reductase 
K00288	Metabolism;Metabolism of cofactors and vitamins;One carbon pool by folate;K00288 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase 
K00289	Metabolism;Metabolism of cofactors and vitamins;One carbon pool by folate;K00289 formyltetrahydrofolate dehydrogenase 
K00290	Metabolism;Amino acid metabolism;Lysine biosynthesis;K00290 saccharopine dehydrogenase (NAD+, L-lysine forming) 
K00294	Metabolism;Amino acid metabolism;Alanine, aspartate and glutamate metabolism;K00294 1-pyrroline-5-carboxylate dehydrogenase 
K00297	Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes;K00297 methylenetetrahydrofolate reductase (NADPH) 
K00298	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00298 N5-(carboxyethyl)ornithine synthase 
K00299	Metabolism;Energy metabolism;Sulfur metabolism;K00299 FMN reductase 
K00302	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00302 sarcosine oxidase, subunit alpha 
K00303	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00303 sarcosine oxidase, subunit beta 
K00311	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00311 electron-transferring-flavoprotein dehydrogenase 
K00313	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00313 electron transfer flavoprotein-quinone oxidoreductase 
K00315	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;K00315 dimethylglycine dehydrogenase 
K00317	Metabolism;Energy metabolism;Methane metabolism;K00317 dimethylamine/trimethylamine dehydrogenase 
K00318	Metabolism;Amino acid metabolism;Arginine and proline metabolism;K00318 proline dehydrogenase 
K00319	Metabolism;Energy metabolism;Methane metabolism;K00319 methylenetetrahydromethanopterin dehydrogenase 
K00320	Metabolism;Energy metabolism;Methane metabolism;K00320 5,10-methylenetetrahydromethanopterin reductase 
K00322	Metabolism;Metabolism of cofactors and vitamins;Nicotinate and nicotinamide metabolism;K00322 NAD(P) transhydrogenase 
K00324	Metabolism;Metabolism of cofactors and vitamins;Nicotinate and nicotinamide metabolism;K00324 H+-translocating NAD(P) transhydrogenase subunit alpha 
K00325	Metabolism;Metabolism of cofactors and vitamins;Nicotinate and nicotinamide metabolism;K00325 H+-translocating NAD(P) transhydrogenase subunit beta 
K00326	Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism;K00326 cytochrome-b5 reductase 
K00327	Not Included in Pathway or Brite;Unclassified: metabolism;Enzymes with EC numbers;K00327 NADPH-ferrihemoprotein reductase 
K00329	Metabolism;Energy metabolism;Oxidative phosphorylation;K00329 NADH dehydrogenase 
K00330	Metabolism;Energy metabolism;Oxidative phosphorylation;K00330 NADH-quinone oxidoreductase subunit A 
K00331	Metabolism;Energy metabolism;Oxidative phosphorylation;K00331 NADH-quinone oxidoreductase subunit B 
K00332	Metabolism;Energy metabolism;Oxidative phosphorylation;K00332 NADH-quinone oxidoreductase subunit C 
K00333	Metabolism;Energy metabolism;Oxidative phosphorylation;K00333 NADH-quinone oxidoreductase subunit D 
K00334	Metabolism;Energy metabolism;Oxidative phosphorylation;K00334 NADH-quinone oxidoreductase subunit E 
K00335	Metabolism;Energy metabolism;Oxidative phosphorylation;K00335 NADH-quinone oxidoreductase subunit F 
K00336	Metabolism;Energy metabolism;Oxidative phosphorylation;K00336 NADH-quinone oxidoreductase subunit G 
